Gene_ID	module	ID
Sal_020924	brown4	SA014
Sal_033731	brown4	SA014
Sal_004091	brown4	SA014
Sal_011832	brown4	SA014
Sal_039041	brown4	SA014
Sal_005016	brown4	SA014
Sal_005994	brown4	SA014
Sal_007304	brown4	SA014
Sal_050826	brown4	SA014
Sal_014112	brown4	SA014
Sal_014362	brown4	SA014
Sal_027273	brown4	SA014
Sal_041154	brown4	SA014
Sal_007196	brown4	SA014
Sal_013185	brown4	SA014
Sal_001686	brown4	SA014
Sal_020981	brown4	SA014
Sal_018679	brown4	SA014
Sal_019416	brown4	SA014
Sal_030839	brown4	SA014
Sal_034944	brown4	SA014
Sal_012915	brown4	SA014
Sal_006847	brown4	SA014
Sal_018492	brown4	SA014
Sal_041506	brown4	SA014
Sal_023159	brown4	SA014
Sal_020753	brown4	SA014
Sal_002455	brown4	SA014
Sal_001535	brown4	SA014
Sal_006809	brown4	SA014
Sal_009277	brown4	SA014
Sal_014844	brown4	SA014
Sal_040106	brown4	SA014
Sal_043470	brown4	SA014
Sal_038898	brown4	SA014
Sal_006986	brown4	SA014
Sal_006867	brown4	SA014
Sal_042700	brown4	SA014
Sal_010803	brown4	SA014
Sal_014934	brown4	SA014
Sal_004763	brown4	SA014
Sal_043265	brown4	SA014
Sal_005765	brown4	SA014
Sal_000767	brown4	SA014
Sal_037400	brown4	SA014
Sal_052604	brown4	SA014
Sal_020332	brown4	SA014
Sal_027496	brown4	SA014
Sal_020171	brown4	SA014
Sal_038441	brown4	SA014
Sal_032816	brown4	SA014
Sal_010092	brown4	SA014
Sal_006438	brown4	SA014
Sal_001159	brown4	SA014
Sal_014520	brown4	SA014
Sal_011351	brown4	SA014
Sal_013698	brown4	SA014
Sal_003529	brown4	SA014
Sal_016143	brown4	SA014
Sal_036958	brown4	SA014
Sal_014835	brown4	SA014
Sal_042704	brown4	SA014
Sal_049486	brown4	SA014
Sal_005214	brown4	SA014
Sal_005324	brown4	SA014
Sal_040490	brown4	SA014
Sal_032660	brown4	SA014
Sal_020170	brown4	SA014
Sal_027596	brown4	SA014
Sal_003391	brown4	SA014
Sal_000098	brown4	SA014
Sal_007353	brown4	SA014
Sal_031620	brown4	SA014
Sal_025665	brown4	SA014
Sal_035511	brown4	SA014
Sal_048902	brown4	SA014
Sal_007265	brown4	SA014
Sal_008975	brown4	SA014
Sal_050316	brown4	SA014
Sal_047003	brown4	SA014
Sal_041288	brown4	SA014
Sal_028814	brown4	SA014
Sal_007098	brown4	SA014
Sal_012058	brown4	SA014
Sal_019901	brown4	SA014
Sal_009346	brown4	SA014
Sal_045533	brown4	SA014
Sal_031829	brown4	SA014
Sal_010890	brown4	SA014
Sal_038589	brown4	SA014
Sal_026237	brown4	SA014
Sal_026396	brown4	SA014
Sal_002316	brown4	SA014
Sal_004569	brown4	SA014
Sal_006319	brown4	SA014
Sal_010771	brown4	SA014
Sal_031306	brown4	SA014
Sal_011301	brown4	SA014
Sal_019623	brown4	SA014
Sal_048912	brown4	SA014
Sal_000035	brown4	SA014
Sal_005659	brown4	SA014
Sal_038884	brown4	SA014
Sal_047746	brown4	SA014
Sal_002091	brown4	SA014
Sal_014627	brown4	SA014
Sal_020627	brown4	SA014
Sal_048824	brown4	SA014
Sal_030061	brown4	SA014
Sal_008799	brown4	SA014
Sal_015889	brown4	SA014
Sal_038673	brown4	SA014
Sal_030137	brown4	SA014
Sal_000331	brown4	SA014
Sal_030039	brown4	SA014
Sal_007392	brown4	SA014
Sal_048316	brown4	SA014
Sal_032219	brown4	SA014
Sal_020553	brown4	SA014
Sal_019601	brown4	SA014
Sal_014050	brown4	SA014
Sal_005827	brown4	SA014
Sal_009389	brown4	SA014
Sal_004239	brown4	SA014
Sal_040908	brown4	SA014
Sal_014501	brown4	SA014
Sal_035186	brown4	SA014
Sal_035028	brown4	SA014
Sal_038688	brown4	SA014
Sal_003042	brown4	SA014
Sal_046420	brown4	SA014
Sal_004695	brown4	SA014
Sal_001127	brown4	SA014
Sal_034633	brown4	SA014
Sal_011661	brown4	SA014
Sal_010603	brown4	SA014
Sal_039592	brown4	SA014
Sal_026188	brown4	SA014
Sal_034351	brown4	SA014
Sal_033619	brown4	SA014
Sal_025260	brown4	SA014
Sal_005732	brown4	SA014
Sal_028687	brown4	SA014
Sal_000669	brown4	SA014
Sal_017454	brown4	SA014
Sal_048570	brown4	SA014
Sal_004694	brown4	SA014
Sal_051028	brown4	SA014
Sal_015117	brown4	SA014
Sal_004551	brown4	SA014
Sal_010410	brown4	SA014
Sal_023619	brown4	SA014
Sal_034064	brown4	SA014
Sal_047005	brown4	SA014
Sal_007434	brown4	SA014
Sal_009687	brown4	SA014
Sal_049272	brown4	SA014
Sal_049894	brown4	SA014
Sal_001372	brown4	SA014
Sal_012306	brown4	SA014
Sal_010180	brown4	SA014
Sal_006831	brown4	SA014
Sal_007960	brown4	SA014
Sal_010778	brown4	SA014
Sal_016762	brown4	SA014
Sal_031137	coral	SA028
Sal_027816	coral	SA028
Sal_019171	coral	SA028
Sal_044137	coral	SA028
Sal_001315	coral	SA028
Sal_004369	coral	SA028
Sal_048667	coral	SA028
Sal_001230	coral	SA028
Sal_022634	coral	SA028
Sal_034576	coral	SA028
Sal_036421	coral	SA028
Sal_046768	coral	SA028
Sal_048743	coral	SA028
Sal_038134	coral	SA028
Sal_001867	coral	SA028
Sal_052496	coral	SA028
Sal_021952	coral	SA028
Sal_005529	coral	SA028
Sal_003267	coral	SA028
Sal_007385	coral	SA028
Sal_007722	coral	SA028
Sal_029445	coral	SA028
Sal_006968	coral	SA028
Sal_046564	coral	SA028
Sal_014523	coral	SA028
Sal_001234	coral	SA028
Sal_002346	coral	SA028
Sal_015733	coral	SA028
Sal_000146	coral	SA028
Sal_029749	coral	SA028
Sal_010132	coral	SA028
Sal_017865	coral	SA028
Sal_014471	coral	SA028
Sal_013614	coral	SA028
Sal_019908	coral	SA028
Sal_050198	coral	SA028
Sal_049859	coral	SA028
Sal_027217	coral	SA028
Sal_016641	coral	SA028
Sal_016095	coral	SA028
Sal_014986	coral	SA028
Sal_039948	coral	SA028
Sal_013481	coral	SA028
Sal_013019	coral	SA028
Sal_006944	coral	SA028
Sal_000772	coral	SA028
Sal_027564	coral	SA028
Sal_012067	coral	SA028
Sal_016978	coral	SA028
Sal_035130	coral	SA028
Sal_008902	coral	SA028
Sal_009684	coral	SA028
Sal_009018	coral	SA028
Sal_006967	coral	SA028
Sal_020949	coral	SA028
Sal_006839	coral	SA028
Sal_016927	coral	SA028
Sal_015831	coral2	SA031
Sal_016916	coral2	SA031
Sal_007120	coral2	SA031
Sal_029657	coral2	SA031
Sal_041126	coral2	SA031
Sal_017667	coral2	SA031
Sal_007121	coral2	SA031
Sal_053034	coral2	SA031
Sal_021084	coral2	SA031
Sal_044595	coral2	SA031
Sal_019538	coral2	SA031
Sal_004886	coral2	SA031
Sal_017591	coral2	SA031
Sal_016909	coral2	SA031
Sal_007224	coral2	SA031
Sal_048929	coral2	SA031
Sal_026585	coral2	SA031
Sal_015830	coral2	SA031
Sal_023356	coral2	SA031
Sal_005640	coral2	SA031
Sal_010454	coral2	SA031
Sal_027177	coral2	SA031
Sal_034197	coral2	SA031
Sal_016140	coral2	SA031
Sal_010432	coral2	SA031
Sal_026849	coral2	SA031
Sal_003724	coral2	SA031
Sal_014576	coral2	SA031
Sal_036250	coral2	SA031
Sal_021722	coral2	SA031
Sal_003132	coral2	SA031
Sal_050934	coral2	SA031
Sal_014392	coral2	SA031
Sal_013050	coral2	SA031
Sal_006961	coral2	SA031
Sal_034579	coral2	SA031
Sal_030833	coral2	SA031
Sal_013371	coral2	SA031
Sal_000910	coral2	SA031
Sal_028668	coral2	SA031
Sal_007515	coral2	SA031
Sal_043274	coral2	SA031
Sal_003568	coral2	SA031
Sal_021605	coral2	SA031
Sal_006600	coral2	SA031
Sal_026987	coral2	SA031
Sal_044881	coral2	SA031
Sal_000794	coral2	SA031
Sal_003860	coral2	SA031
Sal_035823	coral2	SA031
Sal_022497	coral2	SA031
Sal_019007	coral2	SA031
Sal_023068	coral2	SA031
Sal_015873	coral2	SA031
Sal_005715	coral2	SA031
Sal_005633	coral2	SA031
Sal_023673	coral2	SA031
Sal_025368	coral2	SA031
Sal_027982	coral2	SA031
Sal_036883	coral2	SA031
Sal_024656	coral2	SA031
Sal_011111	coral2	SA031
Sal_008311	coral2	SA031
Sal_044938	coral2	SA031
Sal_012241	coral2	SA031
Sal_031761	coral2	SA031
Sal_010786	coral2	SA031
Sal_046780	coral2	SA031
Sal_005843	coral2	SA031
Sal_012145	coral2	SA031
Sal_008312	coral2	SA031
Sal_013938	coral2	SA031
Sal_006306	coral2	SA031
Sal_028464	coral2	SA031
Sal_021364	coral2	SA031
Sal_031295	coral2	SA031
Sal_003445	coral2	SA031
Sal_043474	coral2	SA031
Sal_001176	coral2	SA031
Sal_020087	coral2	SA031
Sal_027048	coral2	SA031
Sal_007671	coral2	SA031
Sal_026249	coral2	SA031
Sal_014852	coral2	SA031
Sal_008387	coral2	SA031
Sal_001718	coral2	SA031
Sal_045424	coral2	SA031
Sal_026869	coral2	SA031
Sal_044143	coral2	SA031
Sal_009219	coral2	SA031
Sal_039194	coral2	SA031
Sal_026171	coral2	SA031
Sal_047011	coral2	SA031
Sal_033795	coral2	SA031
Sal_002815	coral2	SA031
Sal_018009	coral2	SA031
Sal_036341	coral2	SA031
Sal_015876	coral2	SA031
Sal_020583	coral2	SA031
Sal_032002	coral2	SA031
Sal_019184	coral2	SA031
Sal_028463	coral2	SA031
Sal_000389	coral2	SA031
Sal_004160	coral2	SA031
Sal_043954	coral2	SA031
Sal_025827	coral2	SA031
Sal_028335	coral2	SA031
Sal_006681	coral2	SA031
Sal_020029	coral2	SA031
Sal_031101	coral2	SA031
Sal_013572	coral2	SA031
Sal_027888	coral2	SA031
Sal_024639	coral2	SA031
Sal_001839	coral2	SA031
Sal_027650	coral2	SA031
Sal_043834	coral2	SA031
Sal_006530	coral2	SA031
Sal_017811	coral2	SA031
Sal_051075	coral2	SA031
Sal_022549	coral2	SA031
Sal_027824	coral2	SA031
Sal_047755	coral3	SA045
Sal_020678	coral3	SA045
Sal_009696	coral3	SA045
Sal_011864	coral3	SA045
Sal_050772	coral3	SA045
Sal_018660	coral3	SA045
Sal_017800	coral3	SA045
Sal_019168	coral3	SA045
Sal_011539	coral3	SA045
Sal_045440	coral3	SA045
Sal_042958	coral3	SA045
Sal_012623	coral3	SA045
Sal_018298	coral3	SA045
Sal_019117	coral3	SA045
Sal_022809	coral3	SA045
Sal_028215	coral3	SA045
Sal_052230	coral3	SA045
Sal_034787	coral3	SA045
Sal_042188	coral3	SA045
Sal_008686	coral3	SA045
Sal_017619	coral3	SA045
Sal_008765	coral3	SA045
Sal_015884	coral3	SA045
Sal_034084	coral3	SA045
Sal_030551	coral3	SA045
Sal_014522	coral3	SA045
Sal_043520	coral3	SA045
Sal_042858	coral3	SA045
Sal_046186	coral3	SA045
Sal_028822	coral3	SA045
Sal_047229	coral3	SA045
Sal_030595	coral3	SA045
Sal_047046	coral3	SA045
Sal_002727	coral3	SA045
Sal_036779	coral3	SA045
Sal_015618	coral3	SA045
Sal_025349	coral3	SA045
Sal_032924	coral3	SA045
Sal_003523	coral3	SA045
Sal_019923	coral3	SA045
Sal_024164	coral3	SA045
Sal_047743	coral3	SA045
Sal_000790	coral3	SA045
Sal_037652	coral3	SA045
Sal_011018	coral3	SA045
Sal_021373	coral3	SA045
Sal_026620	coral3	SA045
Sal_005131	coral3	SA045
Sal_003128	coral3	SA045
Sal_001244	coral3	SA045
Sal_004162	coral3	SA045
Sal_026707	coral3	SA045
Sal_018734	coral3	SA045
Sal_029579	coral3	SA045
Sal_016573	coral3	SA045
Sal_000422	coral3	SA045
Sal_012393	darkgreen	SA008
Sal_048775	darkgreen	SA008
Sal_018713	darkgreen	SA008
Sal_037403	darkgreen	SA008
Sal_037402	darkgreen	SA008
Sal_045794	darkgreen	SA008
Sal_002963	darkgreen	SA008
Sal_019240	darkgreen	SA008
Sal_048432	darkgreen	SA008
Sal_000392	darkgreen	SA008
Sal_037023	darkgreen	SA008
Sal_008544	darkgreen	SA008
Sal_046037	darkgreen	SA008
Sal_048397	darkgreen	SA008
Sal_033787	darkgreen	SA008
Sal_044378	darkgreen	SA008
Sal_014020	darkgreen	SA008
Sal_014729	darkgreen	SA008
Sal_034563	darkgreen	SA008
Sal_022413	darkgreen	SA008
Sal_050749	darkgreen	SA008
Sal_001081	darkgreen	SA008
Sal_011992	darkgreen	SA008
Sal_037486	darkgreen	SA008
Sal_023560	darkgreen	SA008
Sal_049439	darkgreen	SA008
Sal_046565	darkgreen	SA008
Sal_010977	darkgreen	SA008
Sal_035394	darkgreen	SA008
Sal_050476	darkgreen	SA008
Sal_028181	darkgreen	SA008
Sal_052666	darkgreen	SA008
Sal_011373	darkgreen	SA008
Sal_031512	darkgreen	SA008
Sal_004789	darkgreen	SA008
Sal_013170	darkgreen	SA008
Sal_009256	darkgreen	SA008
Sal_004060	darkgreen	SA008
Sal_006345	darkgreen	SA008
Sal_011033	darkgreen	SA008
Sal_000213	darkgreen	SA008
Sal_008350	darkgreen	SA008
Sal_002100	darkgreen	SA008
Sal_018695	darkgreen	SA008
Sal_016511	darkgreen	SA008
Sal_009052	darkgreen	SA008
Sal_035510	darkgreen	SA008
Sal_048344	darkgreen	SA008
Sal_020078	darkgreen	SA008
Sal_043558	darkgreen	SA008
Sal_014077	darkgreen	SA008
Sal_019629	darkgreen	SA008
Sal_052647	darkgreen	SA008
Sal_053528	darkgreen	SA008
Sal_008626	darkgreen	SA008
Sal_001084	darkgreen	SA008
Sal_012686	darkgreen	SA008
Sal_028614	darkgreen	SA008
Sal_035315	darkgreen	SA008
Sal_026285	darkgreen	SA008
Sal_015688	darkgreen	SA008
Sal_017371	darkgreen	SA008
Sal_023749	darkgreen	SA008
Sal_006716	darkgreen	SA008
Sal_052896	darkgreen	SA008
Sal_019220	darkgreen	SA008
Sal_000218	darkgreen	SA008
Sal_047571	darkgreen	SA008
Sal_029536	darkgreen	SA008
Sal_004794	darkgreen	SA008
Sal_027503	darkgreen	SA008
Sal_001862	darkgreen	SA008
Sal_000155	darkgreen	SA008
Sal_028780	darkgreen	SA008
Sal_017175	darkgreen	SA008
Sal_016114	darkgreen	SA008
Sal_003064	darkgreen	SA008
Sal_005369	darkgreen	SA008
Sal_004409	darkgreen	SA008
Sal_040298	darkgreen	SA008
Sal_002769	darkgreen	SA008
Sal_009766	darkgreen	SA008
Sal_047969	darkgreen	SA008
Sal_026873	darkgreen	SA008
Sal_009862	darkgreen	SA008
Sal_017051	darkgreen	SA008
Sal_000806	darkgreen	SA008
Sal_011694	darkgreen	SA008
Sal_052965	darkgreen	SA008
Sal_011713	darkgreen	SA008
Sal_001481	darkgreen	SA008
Sal_020483	darkgreen	SA008
Sal_032292	darkgreen	SA008
Sal_004275	darkgreen	SA008
Sal_002075	darkgreen	SA008
Sal_004105	darkgreen	SA008
Sal_038445	darkgreen	SA008
Sal_001238	darkgreen	SA008
Sal_016947	darkgreen	SA008
Sal_005571	darkgreen	SA008
Sal_006547	darkgreen	SA008
Sal_029738	darkgreen	SA008
Sal_018196	darkgreen	SA008
Sal_011017	darkgreen	SA008
Sal_019547	darkgreen	SA008
Sal_008581	darkgreen	SA008
Sal_013023	darkgreen	SA008
Sal_014521	darkgreen	SA008
Sal_017139	darkgreen	SA008
Sal_048112	darkgreen	SA008
Sal_004482	darkgreen	SA008
Sal_019979	darkgreen	SA008
Sal_021118	darkgreen	SA008
Sal_035512	darkgreen	SA008
Sal_006282	darkgreen	SA008
Sal_053333	darkgreen	SA008
Sal_017347	darkgreen	SA008
Sal_012701	darkgreen	SA008
Sal_046957	darkgreen	SA008
Sal_029209	darkgreen	SA008
Sal_020195	darkgreen	SA008
Sal_018233	darkgreen	SA008
Sal_039778	darkgreen	SA008
Sal_050716	darkgreen	SA008
Sal_032497	darkgreen	SA008
Sal_028268	darkgreen	SA008
Sal_052773	darkgreen	SA008
Sal_003571	darkgreen	SA008
Sal_010909	darkgreen	SA008
Sal_043193	darkgreen	SA008
Sal_025699	darkgreen	SA008
Sal_038219	darkgreen	SA008
Sal_006639	darkgreen	SA008
Sal_014979	darkgreen	SA008
Sal_044969	darkgreen	SA008
Sal_003173	darkgreen	SA008
Sal_011247	darkgreen	SA008
Sal_006210	darkgreen	SA008
Sal_042736	darkgreen	SA008
Sal_021316	darkgreen	SA008
Sal_004861	darkgreen	SA008
Sal_018207	darkgreen	SA008
Sal_011404	darkgreen	SA008
Sal_013078	darkgreen	SA008
Sal_039115	darkgreen	SA008
Sal_009568	darkgreen	SA008
Sal_004962	darkgreen	SA008
Sal_016851	darkgreen	SA008
Sal_031491	darkgreen	SA008
Sal_047291	darkgreen	SA008
Sal_032817	darkgreen	SA008
Sal_003941	darkgreen	SA008
Sal_023801	darkgreen	SA008
Sal_040138	darkgreen	SA008
Sal_003057	darkgreen	SA008
Sal_012617	darkgreen	SA008
Sal_014457	darkgreen	SA008
Sal_021717	darkgreen	SA008
Sal_034731	darkgreen	SA008
Sal_016816	darkgreen	SA008
Sal_041938	darkgreen	SA008
Sal_001085	darkgreen	SA008
Sal_005770	darkgreen	SA008
Sal_029721	darkgreen	SA008
Sal_003350	darkgreen	SA008
Sal_051246	darkgreen	SA008
Sal_052587	darkgreen	SA008
Sal_008390	darkgreen	SA008
Sal_048479	darkgreen	SA008
Sal_048285	darkgreen	SA008
Sal_009304	darkgreen	SA008
Sal_013928	darkgreen	SA008
Sal_019351	darkgreen	SA008
Sal_045180	darkgreen	SA008
Sal_008835	darkgreen	SA008
Sal_023444	darkgreen	SA008
Sal_041584	darkgreen	SA008
Sal_009993	darkgreen	SA008
Sal_036477	darkgreen	SA008
Sal_000108	darkgreen	SA008
Sal_028881	darkgreen	SA008
Sal_053050	darkgreen	SA008
Sal_017050	darkgreen	SA008
Sal_033628	darkgreen	SA008
Sal_024840	darkgreen	SA008
Sal_005178	darkgreen	SA008
Sal_040211	darkgreen	SA008
Sal_042036	darkgreen	SA008
Sal_007894	darkgreen	SA008
Sal_001519	darkgreen	SA008
Sal_015259	darkgreen	SA008
Sal_030303	darkgreen	SA008
Sal_001071	darkgreen	SA008
Sal_008364	darkgreen	SA008
Sal_006457	darkgreen	SA008
Sal_015481	darkgreen	SA008
Sal_017210	darkgreen	SA008
Sal_027072	darkgreen	SA008
Sal_019858	darkgreen	SA008
Sal_012977	darkgreen	SA008
Sal_007747	darkgreen	SA008
Sal_010630	darkgreen	SA008
Sal_023547	darkgreen	SA008
Sal_014961	darkgreen	SA008
Sal_007317	darkgreen	SA008
Sal_049318	darkgreen	SA008
Sal_023306	darkgreen	SA008
Sal_024095	darkgreen	SA008
Sal_006283	darkgreen	SA008
Sal_035030	darkgreen	SA008
Sal_010188	darkgreen	SA008
Sal_009483	darkgreen	SA008
Sal_023694	darkgreen	SA008
Sal_018541	darkgreen	SA008
Sal_006033	darkgreen	SA008
Sal_016093	darkgreen	SA008
Sal_044677	darkgreen	SA008
Sal_017425	darkgreen	SA008
Sal_022663	darkgreen	SA008
Sal_049015	darkgreen	SA008
Sal_028880	darkgreen	SA008
Sal_000496	darkgreen	SA008
Sal_030509	darkgreen	SA008
Sal_008726	darkgreen	SA008
Sal_009861	darkgreen	SA008
Sal_014373	darkgreen	SA008
Sal_002065	darkgreen	SA008
Sal_047785	darkgreen	SA008
Sal_010290	darkgreen	SA008
Sal_025052	darkgreen	SA008
Sal_021932	darkgreen	SA008
Sal_012807	darkgreen	SA008
Sal_000156	darkgreen	SA008
Sal_010337	darkgreen	SA008
Sal_028540	darkgreen	SA008
Sal_012057	darkgreen	SA008
Sal_018780	darkgreen	SA008
Sal_052165	darkgreen	SA008
Sal_013101	darkgreen	SA008
Sal_035141	darkgreen	SA008
Sal_008296	darkgreen	SA008
Sal_052074	darkgreen	SA008
Sal_027879	darkgreen	SA008
Sal_028445	darkgreen	SA008
Sal_036886	darkgreen	SA008
Sal_003546	darkgreen	SA008
Sal_015615	darkgreen	SA008
Sal_000362	darkgreen	SA008
Sal_011740	darkgreen	SA008
Sal_022077	darkgreen	SA008
Sal_003611	darkgreen	SA008
Sal_008582	darkgreen	SA008
Sal_018115	darkgreen	SA008
Sal_051467	darkgreen	SA008
Sal_009186	darkgreen	SA008
Sal_014290	darkgreen	SA008
Sal_012960	darkgreen	SA008
Sal_022446	darkgreen	SA008
Sal_014123	darkgreen	SA008
Sal_002110	darkgreen	SA008
Sal_012526	darkgreen	SA008
Sal_052741	darkgreen	SA008
Sal_018753	darkgreen	SA008
Sal_019370	darkgreen	SA008
Sal_027361	darkgreen	SA008
Sal_007676	darkgreen	SA008
Sal_007745	darkgreen	SA008
Sal_027130	darkgreen	SA008
Sal_006000	darkgreen	SA008
Sal_004441	darkgreen	SA008
Sal_028955	darkgreen	SA008
Sal_005582	darkgreen	SA008
Sal_021689	darkgreen	SA008
Sal_049303	darkgreen	SA008
Sal_023135	darkgreen	SA008
Sal_044264	darkgreen	SA008
Sal_028535	darkgreen	SA008
Sal_050644	darkgreen	SA008
Sal_006317	darkgreen	SA008
Sal_009558	darkgreen	SA008
Sal_044267	darkgreen	SA008
Sal_017600	darkgreen	SA008
Sal_028958	darkgreen	SA008
Sal_005424	darkgreen	SA008
Sal_013735	darkgreen	SA008
Sal_007191	darkgreen	SA008
Sal_010800	darkgreen	SA008
Sal_005009	darkgreen	SA008
Sal_008191	darkgreen	SA008
Sal_017870	darkgreen	SA008
Sal_000011	darkgreen	SA008
Sal_047698	darkgreen	SA008
Sal_004213	darkgreen	SA008
Sal_045878	darkgreen	SA008
Sal_010113	darkgreen	SA008
Sal_048672	darkgreen	SA008
Sal_032778	darkgreen	SA008
Sal_007712	darkgreen	SA008
Sal_003345	darkgreen	SA008
Sal_012941	darkgreen	SA008
Sal_000143	darkgreen	SA008
Sal_015443	darkgreen	SA008
Sal_010080	darkgreen	SA008
Sal_003258	darkgreen	SA008
Sal_010763	darkgreen	SA008
Sal_050256	darkgreen	SA008
Sal_019033	darkgreen	SA008
Sal_022181	darkgreen	SA008
Sal_028071	darkgreen	SA008
